inclination_deg,N,spacing_deg,min_coverage,mean_coverage,full_coverage_time_ratio,mean_overlap_ratio,max_gap_time_min
40.5,56,6.428571428571429,0.7487018366539832,0.7512456128680021,0.0,4.826898056243823,95.50211815557677
40.5,57,6.315789473684211,0.7488150544035829,0.751290194107945,0.0,4.926462986068059,95.50211815557677
40.5,58,6.206896551724138,0.7489418970579529,0.7513325031968977,0.0,5.026030381516131,95.50211815557677
40.5,59,6.101694915254237,0.7490623513636756,0.7513726800191651,0.0,5.125599901724935,95.50211815557677
40.5,60,6.0,0.7491768391213086,0.7514099723568828,0.0,5.225180035837877,95.50211815557677
40.5,61,5.901639344262295,0.7492857478927927,0.7514471889138552,0.0,5.324744805192156,95.50211815557677
40.5,62,5.806451612903226,0.7493894342824527,0.7514817695024684,0.0,5.424319923492469,95.50211815557677
40.5,63,5.714285714285714,0.7494882268570472,0.7515147169305246,0.0,5.523896698147459,95.50211815557677
40.5,64,5.625,0.7495981094926965,0.751546142884432,0.0,5.623475054765833,95.50211815557677
40.5,65,5.538461538461538,0.7496723199850096,0.751576109459177,0.0,5.723054697592421,95.50211815557677
40.5,66,5.454545454545454,0.7497581595624777,0.7516047345317417,0.0,5.822635867050978,95.50211815557677
40.5,67,5.373134328358209,0.7498401873208236,0.7516320972598224,0.0,5.9222181233599525,95.50211815557677
40.5,68,5.294117647058823,0.7499186256146414,0.751658252492574,0.0,6.021801685740956,95.50211815557677
40.5,69,5.217391304347826,0.7499936808214772,0.7516832834723625,0.0,6.121386340905692,95.50211815557677
40.5,70,5.142857142857143,0.7500655446996657,0.751707231948425,0.0,6.220972354441356,95.50211815557677
40.5,71,5.070422535211268,0.7501343956134435,0.7517302099875975,0.0,6.320558831152215,95.50211815557677
40.5,72,5.0,0.750237479674204,0.7517522701659682,0.0,6.4201478387103865,95.50211815557677
40.5,73,4.931506849315069,0.7502637115709904,0.7517733327530808,0.0,6.519735118002723,95.50211815557677
40.5,74,4.864864864864865,0.7503244758207268,0.7517935948771642,0.0,6.619324560080371,95.50211815557677
40.5,75,4.8,0.7503828272494363,0.7518121597935558,0.0,6.718925350449892,95.50211815557677
40.5,76,4.7368421052631575,0.7504388919119191,0.7518317459702155,0.0,6.818505827597791,95.50211815557677
40.5,77,4.675324675324675,0.7504927877384301,0.7518497200055181,0.0,6.91809754905769,95.50211815557677
40.5,78,4.615384615384615,0.7505446251549581,0.7518670000382449,0.0,7.017689968423671,95.50211815557677
40.5,79,4.556962025316456,0.7505945076489683,0.7518836383373729,0.0,7.117283042503342,95.50211815557677
40.5,80,4.5,0.7506924660293621,0.7518997637101908,0.0,7.216880674719411,95.50211815557677
40.75,1,360.0,0.0,0.10052226049359539,0.0,0.0,95.50211815557677
40.75,2,180.0,0.0,0.20104452098719078,0.0,0.0,95.50211815557677
40.75,3,120.0,0.0,0.30156678148078614,0.0,0.0,95.50211815557677
40.75,4,90.0,0.10195426406815321,0.3977183513778601,0.0,0.00437069059652146,95.50211815557677
