time_hours,maneuvering_satellite_count,failed_satellite_count,available_capacity_gbps,available_capacity_ratio,basic_coverage_indicator,recommended_candidate_id
6800.0,0.7371736429340672,0.0,36792.62826357066,0.9997996810752896,1,0
6801.0,0.2827883489189844,0.0,36797.17211651081,0.9999231553399676,1,0
6802.0,0.7840064126885409,0.0,36792.15993587312,0.9997869547791608,1,0
6803.0,1.614233435699134,0.0,36783.85766564301,0.9995613496098644,1,0
6804.0,1.9214308355367395,0.0,36780.78569164463,0.9994778720555608,1,0
6805.0,3.587163625706125,0.0,36764.12836374294,0.9990252272756232,1,0
6806.0,5.588281305414057,0.0,36744.11718694586,0.998481445297442,1,0
6807.0,2.9629727641367936,0.0,36770.37027235863,0.9991948443575716,1,0
6808.0,2.2634753418151377,0.0,36777.365246581845,0.9993849251788544,1,0
6809.0,2.6953606664856125,0.0,36773.04639333514,0.999267565036281,1,0
6810.0,2.8204930418214644,0.0,36771.795069581785,0.999233561673418,1,0
6811.0,3.461614614878272,0.0,36765.38385385122,0.9990593438546528,1,0
6812.0,0.964339056123208,0.0,36790.35660943877,0.9997379513434448,1,0
6813.0,1.1338429894676665,0.0,36788.66157010532,0.9996918904919924,1,0
6814.0,0.2483845558499524,0.0,36797.5161544415,0.99993250419678,1,0
6815.0,3.2979245953201826,0.0,36767.0207540468,0.999103824838228,1,0
6816.0,4.920090918221831,0.0,36750.79909081778,0.9986630187722224,1,0
6817.0,4.895846836121564,0.0,36751.04153163878,0.9986696068380104,1,0
6818.0,2.6420743593325824,0.0,36773.57925640667,0.9992820450110508,1,0
6819.0,1.2699082138678932,0.0,36787.30091786132,0.9996549162462316,1,0
6820.0,0.5561196529724839,0.0,36794.43880347027,0.9998488805290836,1,0
6821.0,0.4455125803160626,0.0,36795.54487419684,0.9998789367988272,1,0
6822.0,1.3166461788587185,0.0,36786.83353821142,0.9996422157122667,1,0
6823.0,1.6739264853895293,0.0,36783.260735146105,0.9995451286724484,1,0
6824.0,2.2668144403196493,0.0,36777.3318555968,0.9993840178151304,1,0
6825.0,1.6040224277603556,0.0,36783.9597757224,0.9995641243402824,1,0
6826.0,2.3003370570258994,0.0,36776.99662942974,0.9993749084084168,1,0
6827.0,0.973232409675802,0.0,36790.26767590324,0.9997355346712836,1,0
6828.0,5.344756509149192,0.0,36746.55243490851,0.9985476205138182,1,0
6829.0,3.280331328540342,0.0,36767.1966867146,0.9991086056172443,1,0
6830.0,3.1103726159190046,0.0,36768.89627384081,0.999154790050022,1,0
6831.0,1.4857361628810395,0.0,36785.14263837119,0.9995962673470432,1,0
6832.0,2.126670353109148,0.0,36778.73329646891,0.9994221004475248,1,0
6833.0,1.1875508262673975,0.0,36788.124491737326,0.999677295971123,1,0
6834.0,2.1960947667812434,0.0,36778.03905233218,0.9994032351177224,1,0
6835.0,0.3851095271975282,0.0,36796.14890472803,0.9998953506719572,1,0
6836.0,1.319878511702882,0.0,36786.80121488297,0.9996413373609504,1,0
6837.0,3.0478188889965168,0.0,36769.52181111003,0.9991717883453812,1,0
6838.0,2.1814482119525564,0.0,36778.18551788048,0.9994072151597956,1,0
6839.0,0.9495585073118492,0.0,36790.50441492688,0.999741967796926,1,0
6840.0,2.3568351099802385,0.0,36776.431648900194,0.9993595556766356,1,0
6841.0,2.6678591731888446,0.0,36773.32140826811,0.9992750382681552,1,0
6842.0,1.131229882745174,0.0,36788.68770117255,0.9996926005753408,1,0
6843.0,1.428453611219993,0.0,36785.7154638878,0.9996118332578208,1,0
